exp_name,dataset_name,file_size_bytes,pipeline,n_runs,compression_ratio_mean,compression_ratio_stdev,encode_ms_mean,encode_ms_stdev,decode_ms_mean,decode_ms_stdev,build_huffman_ms_mean,build_huffman_ms_stdev,build_obst_ms_mean,build_obst_ms_stdev,total_ms_mean,total_ms_stdev,lookup_comparisons_per_symbol_mean,lookup_comparisons_per_symbol_stdev,correctness_ok_rate
exp1_distribution,english_like,524288,huffman,7,0.6896490369524274,0.00020561570441637734,1058.7091285714284,18.922437203992715,1521.1235428571429,84.00813804187577,0.4525285714285714,0.030119247129021132,0.0,0.0,2580.2852,88.82197918683565,0.0,0.0,1.0
exp1_distribution,english_like,524288,huffman+obst,7,0.6896490369524274,0.00020561570441637734,1938.480057142857,198.9242671230676,1579.8484857142857,57.171110449259466,0.4595714285714286,0.019498009666434696,22.1978,3.4370165356987554,3540.9859142857144,259.1185095696717,4.517241886683872,0.0018639714234931415,1.0
exp1_distribution,repetitive90,524288,huffman,7,0.22513389587402344,0.00040864174760285945,403.87088571428575,24.535503586261036,551.2529714285714,9.063424406318356,2.253757142857143,0.13857112322008575,0.0,0.0,957.3776142857143,33.579013015842136,0.0,0.0,1.0
exp1_distribution,repetitive90,524288,huffman+obst,7,0.22513389587402344,0.00040864174760285945,775.8107857142857,10.933006247814992,563.0481,9.795787878811321,2.315257142857143,0.034022240624962584,2142.7422,13.879844861764951,3483.916342857143,17.898092684590384,1.6269525800432478,0.0023738672673393776,1.0
exp1_distribution,uniform256,524288,huffman,7,1.0,0.0,1464.0636285714286,69.23726083352122,2160.3528,77.63511446772442,2.587085714285714,0.3323742440310893,0.0,0.0,3627.0035142857146,128.3212200181564,0.0,0.0,1.0
exp1_distribution,uniform256,524288,huffman+obst,7,1.0,0.0,2562.539014285714,36.70845437867727,2185.4145285714285,39.321339374259765,2.5548285714285712,0.3022664371835204,2214.8026142857143,15.862747233947035,6965.310985714285,66.48024175523693,7.036665507725307,0.0011035929267286838,1.0
exp1_distribution,zipf128,524288,huffman,7,0.6049363272530692,0.0006156654586229022,947.0165857142857,6.170441945930208,1372.1261571428572,15.98037017133387,1.1167857142857143,0.016716900487373933,0.0,0.0,2320.2595285714287,17.178023920280015,0.0,0.0,1.0
exp1_distribution,zipf128,524288,huffman+obst,7,0.6049363272530692,0.0006156654586229022,1661.717357142857,67.7544182220824,1352.4868285714285,72.57348251397143,1.1162142857142858,0.07768194617737616,267.2418285714286,16.843167686603593,3282.5622285714285,110.15804503454301,4.284685407366071,0.004867580794984958,1.0
exp2_size_scaling,repetitive90,4096,huffman,7,0.21854073660714285,0.005246521954643759,2.9815285714285715,0.08771411354101291,3.9713000000000003,0.14420384876971915,1.6679,0.07412822224587158,0.0,0.0,8.620728571428572,0.29651557977215814,0.0,0.0,1.0
exp2_size_scaling,repetitive90,4096,huffman+obst,7,0.21854073660714285,0.005246521954643759,5.429828571428572,0.2922946727435958,3.9377142857142857,0.21906496318498347,1.6384571428571428,0.079021702865792,1046.2508857142857,108.89078878364673,1057.2568857142858,109.28919518368735,1.548095703125,0.032309992522610034,1.0
exp2_size_scaling,repetitive90,8192,huffman,7,0.22056361607142858,0.0032330805415163874,5.996142857142857,0.33299160578580583,8.169828571428571,0.7164265249935167,1.9681142857142857,0.11741475529891789,0.0,0.0,16.134085714285714,1.1052348474850204,0.0,0.0,1.0
exp2_size_scaling,repetitive90,8192,huffman+obst,7,0.22056361607142858,0.0032330805415163874,11.3456,0.10781165675998751,8.560985714285714,0.4719952663200888,1.9493428571428573,0.1191737926607308,1731.3772,75.84775858013212,1753.2331285714286,75.97949848414628,1.56787109375,0.0207773091109804,1.0
exp2_size_scaling,repetitive90,16384,huffman,7,0.22305733816964285,0.0017183527136392458,12.493357142857143,0.6327865750186308,16.680885714285715,0.3836188230894976,2.154714285714286,0.05739147522560666,0.0,0.0,31.328957142857142,0.9965614395796877,0.0,0.0,1.0
exp2_size_scaling,repetitive90,16384,huffman+obst,7,0.22305733816964285,0.0017183527136392458,23.210214285714287,0.5130890125133306,16.791214285714286,0.5416132766361721,2.118457142857143,0.021214135000266292,2052.2683857142856,42.631094052988665,2094.3882714285714,42.706208425657806,1.5915178571428572,0.012126650697410557,1.0
exp2_size_scaling,repetitive90,32768,huffman,7,0.22460065569196427,0.0020836835521425277,24.334142857142858,1.6016915879335645,32.730671428571426,2.060784749971302,2.1245285714285713,0.14941022627078013,0.0,0.0,59.189342857142854,3.6701883098178754,0.0,0.0,1.0
exp2_size_scaling,repetitive90,32768,huffman+obst,7,0.22460065569196427,0.0020836835521425277,45.04824285714286,2.781208142071322,33.060457142857146,2.3970528480178483,2.1039857142857143,0.13045150348656298,2007.0157142857142,72.60703037974194,2087.2284,74.24506889551667,1.6082632882254464,0.012563249106124887,1.0
exp2_size_scaling,repetitive90,65536,huffman,7,0.22494070870535715,0.0014120142483259942,49.44717142857143,0.4905690835287994,66.27414285714286,0.34601667521061324,2.1712142857142855,0.03788823161930488,0.0,0.0,117.89252857142857,0.6942820121398424,0.0,0.0,1.0
exp2_size_scaling,repetitive90,65536,huffman+obst,7,0.22494070870535715,0.0014120142483259942,90.71692857142857,4.061650574874823,65.2882,3.7504405687865536,2.1571,0.023734784599823113,2045.4892142857143,9.997504010073149,2203.6514428571427,13.868982146364933,1.6156659807477678,0.009096971797765085,1.0
exp2_size_scaling,repetitive90,131072,huffman,7,0.22470855712890625,0.0008858205654763364,98.27471428571428,5.988697426939232,132.46434285714287,8.254136869040702,2.1268142857142855,0.13473276548500776,0.0,0.0,232.86587142857144,14.05715280805638,0.0,0.0,1.0
exp2_size_scaling,repetitive90,131072,huffman+obst,7,0.22470855712890625,0.0008858205654763364,185.50171428571429,1.3773854452410592,133.6815,1.6805382550440986,2.141914285714286,0.12098255285469103,2021.7258571428572,57.67081880740203,2343.050985714286,56.099598099197095,1.6187264578683036,0.006101531205696844,1.0
